Read ID,Poly(A) end,Adapter end,Leader end,Start end
8d578ad1-c4fe-4b18-8b42-5c04aecf6b32,7869,4652,2,1
8d634cf9-dfa3-4bbb-952a-0c66e1f099a1,8059,5182,2,1
8e8fccc0-20dd-4ec7-87eb-05ef014c5179,6249,2998,320,257
8e8f8b8c-f01e-40de-a234-fec75feb5237,8494,4560,413,223
8d374f13-2e65-44c3-a7be-5b8f77bf58de,11588,5329,469,468
8abcdd85-9e2c-4997-8d7d-b184f5cfb79f,8433,6468,717,492
90f26591-7756-4fc7-a445-57408ee7ca5c,7840,5075,517,351
8f5afa47-f554-487b-95c8-7b78d7154939,7869,4998,2,1
8e5a959e-a693-4b19-9e5c-ef72fb0f6ebf,10002,7932,563,439
8f071754-0614-401d-8a15-eff41df9fbf8,9014,5929,536,413
8d339fc2-472d-4dc3-b46b-fe5c5f998408,8349,4915,322,321
916f2657-5e09-4af0-87fd-0dba7df5d41a,7702,5422,679,542
90f9d3ca-f8f2-4dfe-8b00-6e32a903c2d9,4723,4719,558,327
91252a18-37dc-4481-8bc9-d76ede0a9d16,10603,4660,140,90
9213d82f-d730-4bba-a440-6e675a60d303,7097,4300,416,274
9238e06a-febb-4b8f-9315-a7a22bf899b4,7502,5737,479,331
94c72241-08a8-48a9-86d0-779f661e9848,11236,5232,187,186
954f8927-355c-4af4-bf6e-0441c192b5f2,7670,4297,2,1
95c79bfc-f35a-4b1f-b6d0-a50acab4e1ae,7742,5051,2,1
967e7c13-ae95-48b3-8f1b-1cfb777f5276,6615,5867,785,589
932c4f20-f473-43b8-a5a7-0e0ac476a58d,17275,12637,696,360
94e26b0e-2fbe-4487-82e4-9b6516f65973,6356,4494,257,256
9275b0bf-da3e-4f8b-9c92-6debb3bd2023,16808,6834,998,698
96f958cb-9cab-4345-beaa-ff23782cb02b,11332,5674,437,165
9830406d-fa28-4836-825b-d3180ba0ad68,9803,5178,245,69
97d77776-7697-4357-b792-881b151d4ffa,13975,4191,16,13
96e8d67a-7a61-48c8-a122-258a23ce62c1,9733,5698,688,458
95281305-f9c3-44e5-835a-0057fd04614c,10018,5959,151,150
983aa403-da6c-4bee-bd20-ed20fe918331,10896,7067,453,140
98b4471f-6b38-44de-ba17-9c9bee7de8f5,10802,5767,967,360
9989b0e1-2a6e-47e0-b188-656e13c016ed,7550,3691,310,309
9af9a4d0-c826-46ee-9140-7a21a04a685f,10490,5235,429,302
99972ade-483a-43e9-b689-45ae79b0553c,6635,4654,262,180
989a6e9a-f9ba-4218-a7cb-3a015e81f161,5740,5011,447,389
983407e8-dc5e-4e2c-bc3c-3c41ae7b5808,20598,12574,595,406
9b5257fe-cb56-430b-ab32-8a44b5f590fe,6830,5344,781,576
9e74c5ed-b9e0-44f6-b6cb-9a33781e3b2b,11043,5144,537,391
9bae81ba-6b68-4ca3-adb2-062e96e6cabb,10029,4908,470,260
9e59de88-8838-4e0d-a471-82c57a0a95f6,6975,6081,2,1
9ec1fdfd-daf7-4652-9dd4-7d95d4b8adb8,10676,5998,218,217
9ef351c9-f527-4e71-98f6-5a7aa92932a1,7051,5773,546,246
9b74f82e-0145-4020-bb0c-4e6bec17f67f,6180,4161,666,338
9f1255b7-0c79-418a-8e58-9a7862af3d8d,6031,6030,429,137
9f9cd528-e51f-4c6f-a7fa-a57f4a092fa9,9194,6125,812,474
a1cd86f5-5bc9-4fa6-b11e-03e2189f8c3b,7061,4658,2,1
a0749bb2-dd6c-44fb-86bf-92b191a6024e,8022,6122,2,1
98c4f336-d265-424b-81b1-1384915e6b14,11812,6280,496,495
a09e6785-b29c-4c56-9db6-04bd75538fd2,12721,6615,327,326
a26daec9-c8af-4e65-9a03-68dfad205597,10866,6159,344,177
a4ae30ab-60ae-43e8-b603-44b445170b37,6619,5996,718,289
a2791f14-b079-45ab-9786-6017c1d8333f,9166,6750,817,567
a3ea01e8-071c-4678-a6e4-17d6f9d1662e,13243,5889,503,308
a211fb42-23e6-4cda-918d-7759a464fcc9,10773,4316,514,217
a4e75a07-a506-42a2-b601-f0fa99ea72c6,7597,4866,2,1
a4d37dcd-9dd1-48b6-942d-149b9c2b30c6,7791,4738,528,368
a10cde41-bde0-422c-97c1-a581a31066d6,19724,16026,1342,614
a705d2ba-f575-4454-a730-b66cf8164df4,7385,5097,203,129
a578a628-1164-4e10-a202-f19f5da9bda9,8152,5706,2,1
a2845bf6-6922-471a-8c4e-285b2c6d4bc2,20904,16410,1157,979
a504b33e-6835-433b-9591-b75a2d537c7c,6391,4629,718,353
ada5ca49-00ce-4c57-8c81-0ad8f6968bec,6900,6504,921,649
a83e3d6d-a67d-48f4-9c14-93bca8dc3c7a,13982,6443,369,368
ab9d177d-ef41-40b0-b0b0-3839fb147f67,13460,4181,380,300
adb5752f-0ee4-4ff3-a15f-3ae46ac05f8d,6861,4509,685,414
a98074ed-16c7-4a59-93a4-410b10d218cf,14060,8841,376,227
ae3a53b1-b258-4297-9c9b-e1eea8513357,7682,5247,2,1
a57a5315-b0ce-4140-a024-99c7de8e80b5,12368,8409,865,446
af06e323-bccb-4f54-a535-d3a578658f15,7804,5352,2,1
ad4d287b-4677-43dd-8430-0098853c62c4,10521,7166,783,364
ae66ff33-1a70-4552-98db-ccd78380e685,12718,5598,130,129
b258c99e-d734-487e-9c3e-e25557d7d55c,6195,5083,688,369
b3061635-7f37-485d-99b0-fba5038f03ec,8409,6253,593,303
af07b2fd-5842-4c4f-87cd-8398213acee5,10857,5922,448,337
af9e5bfa-7024-46bf-9a50-5d6cd474b0d4,13921,4965,315,314
b0599bd3-ce2e-4c89-a852-01920aed3a21,18136,18042,7633,3588
b1d2b99b-7438-4657-a805-105ee88db968,8647,3758,467,403
b323bfd0-7aeb-4f83-8f99-f9dc6d13d354,15192,4385,35,34
b54bba80-27d6-4e01-83a2-d79e73943f2c,7574,5589,609,362
b28d0651-2c36-4929-b34c-9d9127c4b1ff,17093,8738,648,403
b4bb7779-d813-417b-9c6f-d4290937130c,8368,5523,232,128
b5cd3e02-b886-4133-81ca-4ac451ed99d9,7756,5039,650,473
b3cfa44b-87d1-42d0-9856-b4ee7476f37b,11422,4463,324,323
b1ae8f12-954e-43f6-a355-b6b31c77eee1,11657,10374,1184,711
b786cd62-1d83-4142-8a90-8dcca39a7651,7775,5261,466,377
b38744cf-38c8-4d01-be58-62fa3da56003,12910,12726,1574,1108
b88b1487-59b8-4a78-a9ac-9eec596e1269,7694,5821,261,168
b4464be1-1fc0-4346-91ed-60be8d91c30f,17680,17674,2,1
b7152839-0cc0-4b47-93d2-5c6f324dd3dd,11133,5721,1113,253
b6738992-15fc-4ff5-89ff-42153f9ac629,7082,5025,616,375
ba6df8e8-9d59-4225-840d-9b5559bab714,7464,4879,291,290
bcb162a6-b4ad-42e0-be70-4ce941168900,10039,6036,3,2
bd2ede6d-10d6-48c6-9ccd-9a2f62232ed9,8191,5265,3,2
b99e3825-49ec-4e1a-9906-72771eb3882c,17719,14246,2111,1082
bb31b288-443d-4a5a-86d0-2f1b69ca3e74,8424,7118,389,214
bd5a54e1-0c47-4904-92dd-104e0ca66e01,10352,5509,502,339
bdccd7d9-ce5d-4328-aa32-7ea758e5573a,8115,5008,212,211
be170de2-ca07-4420-90df-5938b16a4591,3899,33,30,1
bb5be685-84ae-4619-a9fb-cec51b317106,13343,8935,2,1
bef2a82e-4ed9-4211-bdd3-b96e8b24dae9,8123,4809,2,1
bae32dbe-cc87-4c0e-9784-4f5ef9fabd9d,21504,12515,309,308
bd1f71f5-ade2-41dd-a8e5-16c25bda23a7,12809,11310,1265,814
c13dbf1c-b97b-4111-9a1d-daf229ba6fac,8548,4533,2,1
c11f88be-d214-4aed-b61d-a215972ad4e2,6646,4883,2,1
c3c18618-2044-4b5f-bdf6-02c2a4079be3,6548,6369,2,1
c2787ec2-8595-4463-a1c6-495db69ce432,10945,5626,471,336
bdd06ee9-3f09-4a69-a3b7-133f19714287,11586,9137,980,623
c4c4ab95-7895-42a8-af75-a776f7bb9f40,7132,3185,311,172
beeb796a-5219-4f27-8626-cb27c85206f3,14442,6038,875,564
c0c5e91c-c958-46f7-9f7f-1ee630e47d7e,7734,5543,401,400
c1155a41-ecd0-47f2-9493-a2639861148b,10971,7880,167,166
c5bffcac-7277-418f-a4b9-6765d422523e,7775,5554,2,1
c4dae1bb-d300-45bf-8ad0-8a31f919958c,8151,6730,520,291
c4ecdc0b-0ee1-4036-831c-f672425e37af,14564,4935,227,189
c5958d35-f88d-4694-8d44-98b614219712,8759,6659,579,508
c77d54ab-ee5a-4c5f-bbbd-53685564d853,7343,4697,2,1
c7243137-0dcb-495e-8bc2-7358a0033645,10626,5116,584,484
c8e60116-7e75-47c8-872a-ff7b71a56375,7084,3709,702,432
c7f8c540-b8e3-4009-91f2-a6b67a83eec9,8148,3752,368,256
c65f11f4-8ae4-48b9-8dd0-9de9e9d953d8,12675,11651,448,371
cb29d362-2092-4fb3-a36b-726f6fff3bb1,4866,4178,579,304
c93ee93b-f79b-4ccd-83af-2cbfc41d2fa9,9813,5267,524,439
ca26a7e4-e39a-42ff-9518-a5e7f3ff2a19,10952,6818,503,219
