Read ID,Poly(A) end,Adapter end,Leader end,Start end
4bd52449-6ae1-4e67-bc18-2dcc110d1176,8698,6124,2,1
4e43e421-f094-440b-bae7-e38ba603a1d6,5791,4387,504,371
4b1b903d-2673-451a-b875-f14b057c5803,7045,5810,223,222
4b6219fa-64a2-46bc-a8de-adfb8662e855,7280,4320,555,410
4f323875-8baa-40b8-b75c-625698e9499e,10676,5576,637,402
4e79a18e-60fd-439e-99b7-078d6e553b58,14308,4736,357,356
5231867a-80dd-4e7a-bb37-6af2e67e876c,8111,4037,546,502
4fe63b91-419f-412a-838b-a7c80e7c0bb0,11565,6970,596,205
513e9be9-5ea5-4996-9411-4bfccdc4750e,13298,4608,478,398
4cbb3a2b-6f67-4daf-b743-fcbff9a64381,19369,19364,772,176
50950beb-5eee-4e5f-a688-4156419169c9,7801,4487,180,179
50b42525-0174-4d0a-a18d-26bef8848d0e,8656,5936,217,216
557f005f-b085-494d-8d4d-b8b3a7efd4e9,5726,5698,705,392
55af4866-fbfe-4502-b5b9-91f14c6eda66,7648,5296,3,2
56a79dfa-32a1-4ade-8cfa-ce2da986c727,6710,6707,964,443
51a36a32-c017-417d-af73-c383b1e773d9,19084,14817,786,367
582e2bad-b35f-43b3-a5ae-27643c88420e,7782,5075,366,292
538c8292-c1b5-47b7-b95f-17eb41ee3d24,9885,7343,846,744
5973c954-c425-4cc5-86e3-be6a44d9a38f,6056,3693,359,358
59e7eb7c-725a-4b57-8776-c43805e9f378,8547,6004,617,376
57580f82-6db5-47f8-8bb3-640335c87538,6349,5332,493,339
588f2a52-5019-405e-a363-5bfdfcbbbafa,7708,4878,483,243
5b6ef4da-66bc-46c6-a61b-de745a4edcf0,5925,5917,610,386
5a1833d0-ddb1-4070-82f2-ba24d8189a55,6540,5247,515,319
5b006a38-a19c-4a87-a324-62d5873de1f1,9633,5495,2,1
5af585b6-09cf-4ce0-8f15-893fd312a20f,7202,5030,452,351
5a84ac47-b1a1-4e1b-9a1a-a72aea778b27,10425,8887,742,547
5bd727fc-bddd-48dc-8123-8041a5892804,6596,4339,530,360
5dcf428a-b403-424b-bc77-0600f3e8d659,5878,5870,2,1
5ea4cb7b-27ff-4b2e-88c6-f8705081461b,8164,5842,377,263
607fdbe1-adae-461f-a6ea-acf98ec8f2f3,6188,6157,591,335
60b0f6e6-72d7-4f05-8b3a-590e600a4070,8099,4100,453,298
5d386995-c1ff-48dd-9b82-f87308c642bf,7002,5896,595,523
618d411c-0cac-4bb5-91ad-2434874f6a59,7742,4844,381,380
5e741ce8-bb40-40d7-82ff-b048ea24188c,11104,6544,526,381
63849e4d-9690-4e6c-9ccc-6c497e52a02f,14608,5644,777,494
64b779a3-e434-4951-be51-f08597c3fa08,7695,5454,183,182
6544846d-dbe3-4998-84f7-c69af71bd795,11026,3647,161,160
600a5442-6fe0-45d2-910c-262132d26470,9218,7094,944,524
666ec76b-5f70-4d2a-beaf-153c830193f1,8443,5960,1442,323
6763d370-8064-485a-8993-16b49032becc,6043,6027,424,270
69037ae1-85f5-4708-9508-4171b2a6ff80,6812,3941,2,1
6902fb14-8f3b-4277-82e0-2c184cb37457,7199,4948,308,152
67e965aa-259d-41d8-8e52-5077dfbdfca0,7876,4713,350,273
691be1db-3093-449c-a56e-286f3affede9,8411,5965,679,533
6b7ea0fe-1cb0-44c1-8d78-e79a6fbcf165,7379,5447,575,375
68eced86-da22-479d-a601-545aa61deed0,8100,6042,677,427
6c3bb38b-eece-4d05-b2fd-11bd9d01edc3,11035,4503,776,702
6c77e7cb-5ead-4517-a96d-b5cdf87584b3,7182,5101,2,1
6bc234dc-0678-4366-ab28-9b1a1c5b3bd1,6476,4557,392,301
6b771d48-1249-42db-84dc-195666345ae3,8390,5936,731,560
6c35fcc4-eb7d-4d3a-be72-a9376072e87e,10588,7825,3,2
6d814e8a-c046-4050-a024-83170a2a71fa,8831,4612,94,1
6f58ba92-cfcf-4e04-b894-d5bc7e479406,6822,6401,3,2
68996916-769b-43b3-ad0e-abc585b7ed34,10571,5205,518,517
6da2152c-fc1e-4973-90fe-bfa44206c33f,10754,5579,265,264
6de4ba7f-a3a0-4d17-91bf-69200c6b67c1,8304,5287,2,1
70c13d0e-6515-4d48-8f1f-5e1c75b1e9ce,9651,4754,712,562
6e231e97-9bdd-499f-9505-febb8a83bc6c,8729,5813,840,503
6d36022e-180a-4c5e-ae50-2046ef04cd56,12004,5312,379,274
70fdd23f-ff95-48bf-9eba-5c8653510285,9498,7301,408,296
7265b150-ae18-4314-a7db-14991531c9a2,10425,4683,417,336
741be00d-bbb5-4734-95f7-4e2fa70afb15,12232,6040,549,292
75d3cc6c-98c7-4ef5-8992-fe05d9c1eefa,9437,6485,3,1
75b73759-52bd-4c2d-b0dc-809725ada33d,12334,5750,447,330
7418fbc4-15a3-46a3-9514-c50e6d45661b,14646,8552,1025,591
76ed68c4-2f82-4d28-8ab9-f00a414ffe09,7800,4787,2,1
76062314-3f0c-4740-ad76-d0d4f5e0dab6,13896,5364,465,371
765e8211-5959-44a9-bf59-6013840d3203,12604,5801,776,573
7625a69b-3a91-41b7-857b-065bd86adc45,13235,9324,671,278
76c881e1-5dc1-45ea-bd8a-139006b1a7b4,12424,5744,477,410
781ceb54-59c3-43a0-8848-fa762034fb75,7598,5322,2,1
79173b0b-a2e8-4206-a53b-ba7c615c09a2,6457,4686,3,2
7abb3468-9fbe-4bc0-8151-61cc2e7e5151,9485,4967,2,1
7b3f6953-4fcf-4e86-9570-db056e51bbaf,9735,5333,821,691
7bd6a5e8-e4e6-4e18-9034-4eeeb54fe212,7725,5176,2,1
7981d447-05a1-410b-9497-2702bdc92ab4,10904,7335,583,477
7c4e8dfe-8e8e-4a8f-be06-b43ab9b937bf,7954,6054,525,206
7d31374c-8f6b-462b-8d08-1d0f88e81e65,6237,6076,383,224
7d589146-ed64-4dfc-ae90-6ae4b4752326,9310,6420,405,249
7ea817f9-340b-45cb-bd02-a06953d7677b,7649,4266,598,429
7ed89855-59a4-4ead-9765-20e4287cd731,7221,4420,338,168
7efcd389-6d65-4301-9290-985c014f3877,7930,4400,2,1
84d15659-058e-4750-bed4-e3217b04b2d5,7513,4705,2,1
8163ccaa-e546-4c7b-8c38-229a5bc7a905,8095,5439,547,401
81d67d78-4143-4fef-9377-3754d9fc2d5e,9966,5082,532,349
86ad8163-5c93-47c2-b913-b09e96eca586,7914,4806,586,343
85471b3a-3719-438a-8558-acb1ff7c3698,9945,5877,388,215
8743f232-7bb6-4957-a4a8-f573f4a35094,7503,5231,437,436
8398c5f8-1c38-4375-b754-277b06feb8fc,14307,5498,443,442
7bb5329e-fd99-4405-af06-220c38a351f0,20929,6684,500,412
8783d70b-bc41-486d-82f0-7c799feebfe3,11058,5666,413,260
885deaad-ca37-4d26-aab8-58aefc00c90d,454,3,2,1
84ea3209-9882-4dda-9d83-d874de2c682a,10571,7205,566,372
8893d822-72a0-42da-8cb7-bc0db2ef017a,7306,5366,2,1
88db5075-7bb5-4a8c-ab77-bec45299feb4,10098,4697,557,455
874841b9-1f28-4c6e-b5cf-283d9256bf83,9182,6268,929,323
881daca4-cc32-4977-b58d-65d6b415f6f4,13915,8985,449,264
8821e28c-897e-43cc-9e6f-d46fa4301c21,14498,7909,405,404
89f1e9b4-e4cf-4ff8-b026-2722dd6ca166,8211,4295,705,590
8b4ced28-5087-4217-aeb9-bfd358843604,6443,4530,328,172
89505254-be99-4406-84c8-4c0472c1ad48,14923,5947,494,334
8ad49cf8-dcf6-4757-ab89-3d220837499f,9860,8259,2,1
8e65a9fb-fd58-495d-8007-7f4550cd5b7c,9172,5717,644,244
8abbee19-999f-4e4e-b1bb-900d565ea41c,15298,6354,693,224
8d374f13-2e65-44c3-a7be-5b8f77bf58de,11588,5329,469,468
8caf0422-5b60-4ab4-a7e6-3eda9d5dd5fc,13517,4689,273,240
8c02fe59-749a-4bf1-9652-1169340e3b68,15017,9652,2,1
8e9abae3-dad8-4f0e-a021-6a0ebf66760d,9139,6180,829,571
92c796a2-59af-48eb-8ae3-6578f3046c1d,4231,4,3,1
90c15f41-d1ea-4dd2-886f-7917e70a0b3a,9670,3930,408,354
9420daff-c6ad-40ba-b55f-8a74ad750acc,7977,5269,2,1
94adfeb1-d12a-4937-b821-48be93a36a02,7817,5095,386,348
90f4700d-e892-4a5c-8170-740e5233df19,9488,6460,461,460
9206e677-7244-430b-a8ca-ce9d6f070961,17129,6568,432,282
94986648-5004-4932-ad20-d89582f6729e,13149,4587,187,186
94c72241-08a8-48a9-86d0-779f661e9848,11236,5232,187,186
921c307b-8d63-440b-83a7-23ac5ac66740,7092,6100,2,1
95fab370-46f8-422e-aaf9-f56806a259b4,7731,5551,2,1
95881902-3e21-460c-ba7d-702643490a6c,8786,7877,1033,615
9830406d-fa28-4836-825b-d3180ba0ad68,9803,5178,245,69
94e26b0e-2fbe-4487-82e4-9b6516f65973,6356,4494,257,256
96007e3b-f4e9-4d75-8418-1709256eef9c,8830,3930,447,361
99c9fc3a-3a0e-4b4a-a207-5fec9107ec20,6578,4007,438,332
96d3f719-1624-4278-a4e6-2e8e85094d51,10491,9495,2,1
9aecdac7-6eae-4066-a444-0021115a605e,6120,6096,2,1
9a10bc9d-18c2-48c7-b3b1-593cebf03d56,12235,5829,571,450
989a6e9a-f9ba-4218-a7cb-3a015e81f161,5740,5011,447,389
9b7ce2bd-8fff-46ef-a9b6-fbce3f139457,10238,5646,551,360
99eb2672-d00e-479e-a6bf-dbaca679d4ea,8048,6526,509,342
9c4649c0-7a0d-4843-8399-b00ea119192b,7727,3663,208,159
9bb24cab-2f74-43fa-82a9-1ddabb145543,9781,6064,3,2
9e2ee7f3-88ce-4542-91ba-c501dace1356,7879,4860,2,1
9dafe696-21ca-49a8-b65f-b8d6895c0afd,7498,4657,689,570
9ef351c9-f527-4e71-98f6-5a7aa92932a1,7051,5773,546,246
9efa7d6d-156e-4e8f-b6e2-48d28186dd27,7389,4513,589,447
9fdb0acd-bc56-4676-9bbe-af7453b2d82a,6290,5136,405,296
9bcd019d-f081-4112-8cfc-4133dffcaf58,7518,5783,245,151
9a9c5936-ee27-4ae6-a699-46defa30a51b,8431,6083,456,455
9bba89fd-f540-4de0-a799-382ce89cfd88,12504,5778,443,334
a31fc0ba-c478-46e0-8c4d-c8e583a5ba59,8794,4954,200,199
a6ca2063-2a13-4aae-a8d9-fba826bee009,7604,4946,895,648
a577f606-0bf8-4688-afe2-d6932fd47ffd,10751,6401,670,559
a0cee968-3800-4928-b68a-3be233f00c06,14481,4489,771,632
a77b66f9-69f7-4da6-849a-67e95546c71c,10322,4592,486,431
a7d2499d-cbee-414c-b48a-cc9e9875b6d8,9808,4872,326,249
aaea2adc-ca6d-49f8-b45e-7208b1554fcd,7310,4263,465,330
a42c1542-640d-4496-bfd3-5ff0226d9d59,17158,8488,1058,696
a306b151-3162-4eef-b67d-785c56c8ecfb,10028,6367,570,391
a3a51506-1f6d-467b-a4ac-2b923fab1f65,21658,15556,1408,828
abc99547-4594-4498-8603-c0ca356842b7,10336,5977,562,427
ac202a63-7b40-4429-a508-d800c4144074,12810,5409,513,512
adb5752f-0ee4-4ff3-a15f-3ae46ac05f8d,6861,4509,685,414
aade6389-3f67-4503-a3f9-3d354c47d0e3,9109,7266,2,1
a1da78f8-40d7-42d4-8af5-63fc8124b902,14103,8583,1015,418
ae33b111-dd18-4c40-9afa-8885f6989568,9091,6155,933,381
acc3ab0f-863e-45c5-a631-47ce7c172ef7,7645,5261,432,300
ae9c6624-6dca-449e-9305-1286005ed563,5557,5549,2,1
ac8298ae-bb9a-49d6-8529-381baeb8fb2a,7497,4781,391,322
ac4272e5-3878-40c5-bb36-7f22d1d7484e,11636,8981,2,1
aec3afbe-82f0-4a65-9f16-3223e55bc1cc,8863,5022,213,212
b3ba715a-12ea-46bb-b4c1-6470a1b1fa92,7802,5408,451,249
b17d713e-3070-43ba-9b0a-a2d6cc9d91df,6880,5846,396,395
